Time,Roll,Pitch,Engine 1 Throttle,Engine 2 Throttle,Engine 3 Throttle,Engine 4 Throttle,Altitude,Latitude,Longitude
1,0,0.424,0,0,0,0,10.70959469,37.62765234,-122.3669217
2.01667,-0.06271223564,-2.236009914,0,0,0,0,9.858012729,37.6276514,-122.3669224
3.06667,-0.06507600803,-2.185397999,0,0,0,0,9.860114511,37.62765141,-122.3669223
4.03333,-0.0673484133,-2.165425886,0,0,0,0,9.860825159,37.62765141,-122.3669223
5.03333,-0.06505510392,-2.161948465,0,0,0,0,9.860928806,37.62765141,-122.3669223
6.00833,-0.0694687935,-2.161128416,0,0,0,0,9.860935091,37.62765141,-122.3669223
7,-0.07310361474,-2.16078648,0,0,0,0,9.860917562,37.62765141,-122.3669223
8,-0.06870340544,-2.160665244,0,0,0,0,9.860882902,37.6276514,-122.3669223
9.15,-0.07443019222,-2.160588191,0,0,0,0,9.860840493,37.6276514,-122.3669223
10.025,-0.07150603749,-2.162281864,0.01,0.01,0.01,0.01,9.860722419,37.62765142,-122.3669223
11.025,-0.07543169539,-2.160906221,0.23,0.23,0.23,0.23,9.860658879,37.62765149,-122.3669223
12.0167,-0.07406973299,-2.174685488,0.23,0.23,0.23,0.23,9.860046477,37.62765149,-122.3669223
13.0333,-0.07899890843,-2.198501077,0.28,0.28,0.28,0.28,9.859309521,37.62765119,-122.3669225
14.0083,-0.07732441818,-2.250735162,0.57,0.57,0.57,0.57,9.857582309,37.62765044,-122.366923
15.0167,-0.08664585882,-2.37097744,0.68,0.68,0.68,0.68,9.85470575,37.62764599,-122.3669259
16.0417,-0.1035304933,-2.474383516,0.68,0.68,0.68,0.68,9.859371204,37.62763162,-122.3669354
17.0333,-0.114540298,-2.51916864,0.68,0.68,0.68,0.68,9.876797552,37.62760335,-122.3669541
18.0333,-0.1354756416,-2.527638074,0.81,0.81,0.81,0.81,9.907247284,37.62755966,-122.366983
19.0083,-0.1658318704,-2.598627005,1,1,1,1,9.958142524,37.62748592,-122.3670319
20.0167,-0.2570564906,-2.660837008,1,1,1,1,10.3429416,37.62697327,-122.3673721
21.0167,-0.4689180997,-2.434605562,1,1,1,1,11.66757499,37.62545341,-122.368386
22.025,-2.379098108,1.673976059,1,1,1,1,15.83356376,37.62194677,-122.3707588
23.025,-3.448294427,21.23783289,1,1,1,1,192.9333712,37.61706802,-122.3742311
24.025,-6.909841129,38.6016064,1,1,1,1,1001.652048,37.61206091,-122.3772163
25.0167,-9.607599365,31.76279753,1,1,1,1,1949.407343,37.60801469,-122.3787884
26.025,1.787061153,8.112823564,1,1,1,1,2292.124821,37.60351664,-122.3798676
27.0083,14.56507446,13.02905798,1,1,1,1,2273.285324,37.59788655,-122.381684
28.0167,16.96631626,27.10792457,1,1,1,1,2843.008808,37.59208851,-122.3857701
29,8.497323087,29.43850123,1,1,1,1,3733.164206,37.58802123,-122.3909316
30,-5.392693897,23.12747815,1,1,1,1,4503.462091,37.5847553,-122.3963702
31.0083,-7.338039348,13.35353636,1,1,1,1,4910.106719,37.58114388,-122.4017558
32.0167,-3.105456283,13.65801851,1,1,1,1,5132.737127,37.57650231,-122.4074614
33.0167,-2.467864314,-11.1598606,1,1,1,1,4887.528271,37.57101915,-122.4136927
34.025,-2.22601009,-6.903559916,1,1,1,1,3919.157817,37.56359288,-122.4219102
35.025,-2.204816654,4.092505063,1,1,1,1,3583.480175,37.55435722,-122.4316785
36.0083,-2.320304054,8.924316632,1,1,1,1,3924.041801,37.54443597,-122.4417267
37.0083,-2.558612982,14.46541346,1,1,1,1,4738.391753,37.53414104,-122.4517078
38.025,-1.593287299,18.31523251,1,1,1,1,5963.341386,37.52385306,-122.4611832
39.0167,-0.7657281323,18.69729451,1,1,1,1,7257.894407,37.51439056,-122.4695888
40.0167,-0.8240542659,12.63522586,1,1,1,1,8349.318059,37.50520644,-122.4776211
41.025,-0.84449302,2.935348288,1,1,1,1,8795.790529,37.49572893,-122.4858352
42.025,-0.8379334237,-3.885318105,1,1,1,1,8580.576061,37.48571753,-122.4944658
43.0083,-0.8129975236,-5.783067383,1,1,1,1,7964.125923,37.4747854,-122.5038459
44.025,-0.7853920334,-2.847545992,0.99,0.99,0.99,0.99,7319.244721,37.46219818,-122.5145781
45.0083,-0.7827446414,3.15251031,0.75,0.75,0.75,0.75,7131.354076,37.44925558,-122.525509
46.025,-0.818919938,9.991537105,0.41,0.41,0.41,0.41,7629.821709,37.43591591,-122.536609
47.0083,-0.8824953388,13.68192588,0.09,0.09,0.09,0.09,8588.353158,37.42399951,-122.5463139
48.025,-0.9448268981,11.36642686,0,0,0,0,9514.96325,37.41335151,-122.5547638
49.0167,-0.9752601933,3.228113034,0.06,0.06,0.06,0.06,9931.195061,37.40389146,-122.56209
50.0083,-0.961585621,-7.358873986,0.39,0.39,0.39,0.39,9644.757865,37.39484905,-122.5689635
51.0083,-0.8969414023,-15.46239569,0.72,0.72,0.72,0.72,8618.929202,37.38540519,-122.576074
52.0083,-0.8018984662,-16.71871336,0.91,0.91,0.91,0.91,7038.189647,37.37467748,-122.5841477
53.0083,-0.7158479544,-10.37265056,0.65,0.65,0.65,0.65,5467.558101,37.36202023,-122.5936785
54.0167,-0.681829557,0.3848140318,0.32,0.32,0.32,0.32,4716.438465,37.34795009,-122.6041954
55.0083,-0.7117163303,9.8849853,0,0,0,0,5062.556515,37.33464796,-122.6139627
56.0083,-0.7742216326,14.15147663,0.01,0.01,0.01,0.01,6030.882928,37.32262968,-122.6225548
57.025,-0.8298669169,11.16885254,0.28,0.28,0.28,0.28,6934.193722,37.31214167,-122.6298256
58.0083,-0.856536191,1.687543163,0.6,0.6,0.6,0.6,7273.849578,37.3028205,-122.6361218
59.0167,-0.8332190457,-8.394074532,0.76,0.76,0.76,0.76,6864.074102,37.29315636,-122.6425832
60.025,-0.7693120072,-12.1923931,0.76,0.76,0.76,0.76,5837.5152,37.28252727,-122.6496902
61.025,-0.6994373577,-9.472267704,0.67,0.67,0.67,0.67,4647.739983,37.27048858,-122.6577389
62.0167,-0.6601812724,-2.308745239,0.34,0.34,0.34,0.34,3873.834056,37.25739894,-122.6664434
63.0167,-0.6673541449,5.207232063,0.21,0.21,0.21,0.21,3841.626971,37.24423718,-122.6750637
64.025,-0.7081266924,8.75980128,0.26,0.26,0.26,0.26,4324.009074,37.23205054,-122.6828577
65.0083,-0.7494277791,6.784696268,0.59,0.59,0.59,0.59,4817.264679,37.22124297,-122.6895963
66.0167,-0.7675375454,1.443919706,0.76,0.76,0.76,0.76,4994.782052,37.21046331,-122.696203
67.0167,-0.759933197,-2.332798817,0.75,0.75,0.75,0.75,4788.854342,37.19932661,-122.7029705
68.0083,-0.7402395205,-2.83643669,0.55,0.55,0.55,0.55,4388.079201,37.18759704,-122.710048
69.025,-0.7260730678,-0.5781135613,0.31,0.31,0.31,0.31,4054.520617,37.17513389,-122.7174847
70.0083,-0.725544742,1.144779939,0.32,0.32,0.32,0.32,3923.34901,37.16326914,-122.7244422
71.0167,-0.7303071448,1.097924521,0.47,0.47,0.47,0.47,3866.349159,37.15133767,-122.7313097
72.0083,-0.7317351879,0.4176714839,0.45,0.45,0.45,0.45,3772.5811,37.1399017,-122.737786
73.0083,-0.7286009315,-0.4389907988,0.45,0.45,0.45,0.45,3613.711091,37.1283151,-122.744246
74.0083,-0.7202592962,-1.158326872,0.45,0.45,0.45,0.45,3391.968368,37.11689719,-122.750517
75,-0.7084822891,-1.491955253,0.45,0.45,0.45,0.45,3118.667042,37.10510552,-122.7568993
